Item1,Item2.X,Item2.Y
48668622.08,98.9559,782.9669
48668670.3872,100.8984,781.2227
48668699.776,100.9583,781.4441
48668737.4208,100.3183,780.6977
48668765.7088,101.0193,779.874
48668797.4784,99.55463,782.0775
48668829.3504,100.0609,782.0391
48668877.184,99.94975,781.069
48668908.672,100.0578,781.7336
48668940.032,100.0578,781.7336
48668973.952,100.4306,777.8741
48668991.3088,99.51968,778.2333
48669037.2352,100.5139,777.9484
48669070.3744,100.203,781.2065
48669116.6592,99.82372,780.3933
48669149.4528,99.82372,780.3933
48669170.1504,99.81055,780.454
48669196.7872,99.82439,779.946
48669228.9152,99.77671,780.4045
48669277.6704,99.6808,780.4052
48669308.9024,99.76321,779.8209
48669341.9648,99.76321,779.8209
48669359.9616,99.58915,779.9636
48669389.4144,100.1267,779.7172
48669437.7088,99.45396,779.5588
48669469.056,99.24129,779.3998
48669517.2352,99.56401,779.241
48669549.376,99.56401,779.241
48669566.4384,99.4519,779.6111
48669597.8752,99.78046,778.9296
48669630.7968,99.33629,778.8319
48669678.7712,99.35529,778.6301
48669708.6848,99.5986,779.5187
48669741.952,99.5986,779.5187
48669760.384,99.44452,779.7822
48669790.1568,99.22577,779.9984
48669836.5184,99.22923,779.9559
48669869.1712,99.12997,780.1249
48669916.7104,99.67905,780.1533
48669948.6464,99.67905,780.1533
48669966.6688,99.30244,780.3768
48669996.2496,99.70856,782.4157
48670028.4928,99.25681,779.5786
48670077.5424,99.20211,779.9816
48670109.0048,99.71565,780.2908
48670140.3648,99.71565,780.2908
48670158.3488,99.40671,779.6393
48670188.5952,99.34977,779.3856
48670238.3616,100.2464,777.592
48670269.12,99.52156,778.8315
48670317.0432,99.21651,778.6505
48670349.0816,99.21651,778.6505
48670366.6048,99.87865,778.7757
48670397.056,99.35749,778.9577
48670428.224,100.0796,777.4395
48670476.6208,99.9222,778.7794
48670509.4528,100.4201,777.776
48670542.9376,100.4201,777.776
48670561.3568,99.45335,779.0779
48670589.0816,99.80161,778.7233
48670636.5824,99.82391,778.0436
48670670.2208,99.9619,779.7853
48670717.1328,100.6662,778.4992
48670749.3376,100.6662,778.4992
48670767.0272,100.5644,778.4656
48670796.5312,100.3152,778.8157
48670828.9536,98.32535,769.7533
48670876.8384,100.2773,778.3698
48670909.696,99.60518,779.2229
48670939.904,99.60518,779.2229
48670960.8704,100.1388,778.2135
48670988.3008,99.77866,781.7476
48671037.1712,99.66792,778.5457
48671068.9792,99.7682,778.4834
48671116.5056,100.0219,778.4538
48671148.5696,100.0219,778.4538
48671165.0944,100.0987,778.8916
48671197.5424,100.1797,779.8619
48671228.9408,100.1085,779.5045
48671280.256,100.0135,779.6035
48671309.7984,100.1103,779.2677
48671341.4656,100.1103,779.2677
48671358.1824,99.51031,779.7344
48671389.4912,99.55364,779.6238
48671437.2864,99.34922,779.735
48671469.184,100.6792,779.654
48671517.6576,99.42939,779.4693
48671549.312,99.42939,779.4693
48671566.6176,100.6558,780.0585
48671597.6576,99.80836,778.9424
48671628.7104,100.4333,780.1154
