FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1R
0,380.89456,7,0,0,0,0,0,0.00473445965748796,0.011530171607891
1,380.9112,2,0,0,0,0,0,0.00481400029953143,0.0118213949703766
2,380.92784,1,0,0,0,0,0,0.00534484451237645,0.0134522158852098
3,380.944512,2,0,0,0,0,0,0.00484452670809946,0.0118709044377534
4,380.961184,1,0,0,0,0,0,0.00533954180290689,0.0134806352169367
5,380.977856,2,0,0,0,0,0,0.00483908068215774,0.0118878064613594
6,380.994528,1,0,0,0,0,0,0.00533954180290689,0.0134996312965647
7,381.011168,2,0,0,0,0,0,0.00483664430213119,0.0118864602824882
8,381.02784,1,0,0,0,0,0,0.00534040170173979,0.0134997808719948
9,381.04448,2,0,0,0,0,0,0.00483076832677302,0.011859835855923
10,381.061152,1,0,0,0,0,0,0.00535373013364978,0.0134695666351063
11,381.077824,2,0,0,0,0,0,0.00483908068215774,0.011857741799901
12,381.094496,1,0,0,0,0,0,0.00532220050977669,0.0134855712061314
13,381.111136,2,0,0,0,0,0,0.00483263144091098,0.0118726993429151
14,381.127808,1,0,0,0,0,0,0.00535616651367633,0.0134888618655945
15,381.14448,2,0,0,0,0,0,0.00481858642664024,0.0118581905261914
16,381.161152,1,0,0,0,0,0,0.0053449878288486,0.013466126400213
17,381.177824,2,0,0,0,0,0,0.00483664430213119,0.0118729984937754
18,381.194496,1,0,0,0,0,0,0.00536046600784084,0.0134697162105364
19,381.211136,2,0,0,0,0,0,0.00483650098565904,0.011869408683452
20,381.227808,1,0,0,0,0,0,0.00533122944752216,0.0134931995530686
21,381.24448,2,0,0,0,0,0,0.00485068931640193,0.0118984263168995
22,381.261152,1,0,0,0,0,0,0.00534054501821194,0.0134786907363449
23,381.277824,2,0,0,0,0,0,0.00484495665751591,0.0118930416014144
24,381.294496,1,0,0,0,0,0,0.00533452572638162,0.0134715111156981
25,381.311136,2,0,0,0,0,0,0.00484911283520827,0.0119026144289434
