Item1,Item2
0,35725416.448
1,35725429.632
2,35725446.3744
3,35725462.912
4,35725479.616
5,35725496.5632
6,35725512.96
7,35725529.7152
8,35725546.4064
9,35725562.9184
10,35725579.6608
11,35725596.3392
12,35725612.992
13,35725629.76
14,35725646.2336
15,35725662.7968
16,35725679.5776
17,35725696.2432
18,35725712.8576
19,35725729.5488
20,35725746.2784
21,35725762.7904
22,35725779.5712
23,35725796.2112
24,35725812.8512
25,35725829.568
26,35725846.2592
27,35725862.8864
28,35725879.5008
29,35725896.3456
30,35725912.9216
31,35725929.9456
32,35725946.2016
33,35725962.8288
34,35725979.5968
35,35725996.1984
36,35726012.8256
37,35726029.5552
38,35726046.208
39,35726062.8224
40,35726079.6544
41,35726096.5248
42,35726112.8832
43,35726129.6128
44,35726146.24
45,35726162.9056
46,35726179.6224
47,35726196.3008
48,35726212.864
49,35726229.6448
50,35726246.2848
51,35726263.1936
52,35726279.7568
53,35726296.2432
54,35726312.9472
55,35726330.0608
56,35726346.2912
57,35726362.944
58,35726379.6096
59,35726396.2624
60,35726412.9536
61,35726429.6704
62,35726446.5664
63,35726462.8864
64,35726479.8976
65,35726496.3072
66,35726513.0624
67,35726529.6512
68,35726546.5856
69,35726562.9568
70,35726579.8784
71,35726596.3136
72,35726612.8896
73,35726629.6704
74,35726646.2336
75,35726662.9376
76,35726679.744
77,35726696.4608
78,35726713.0112
79,35726729.6128
80,35726746.24
81,35726763.008
82,35726779.6864
83,35726796.3648
84,35726812.8896
85,35726829.696
86,35726846.336
87,35726862.976
88,35726879.6544
89,35726896.2944
90,35726912.9856
91,35726929.6768
92,35726946.3296
93,35726962.9184
94,35726979.6992
95,35726996.3392
96,35727012.9024
97,35727029.7216
98,35727046.3872
99,35727063.0144
100,35727079.68
101,35727096.8448
102,35727113.216
103,35727129.7792
104,35727146.2784
105,35727162.9824
106,35727179.8912
107,35727196.3776
108,35727212.9152
109,35727229.76
110,35727246.3616
111,35727263.0016
112,35727279.68
113,35727296.3456
114,35727312.9984
115,35727329.9584
116,35727346.3424
117,35727363.0464
118,35727379.7632
119,35727396.3264
120,35727412.992
121,35727429.7344
122,35727446.3104
123,35727463.0144
124,35727479.7312
125,35727496.5248
126,35727513.0496
127,35727529.6768
128,35727546.3552
129,35727563.0336
130,35727579.7632
131,35727596.3264
132,35727612.9536
133,35727629.7344
134,35727646.4
135,35727662.9632
136,35727679.7056
137,35727696.384
138,35727713.0112
139,35727729.8048
140,35727746.3808
141,35727763.072
142,35727779.9808
143,35727796.4032
144,35727812.992
145,35727829.7856
146,35727846.3744
147,35727863.0272
148,35727879.7696
149,35727896.4352
150,35727913.024
151,35727929.7408
152,35727946.624
153,35727963.264
154,35727979.712
155,35727996.4032
156,35728013.0304
157,35728029.7344
158,35728046.3616
159,35728063.0784
160,35728079.7952
161,35728096.3328
162,35728113.024
163,35728129.8176
164,35728146.4832
165,35728163.1232
166,35728180.0832
167,35728196.3904
168,35728213.056
169,35728229.8368
170,35728246.4128
171,35728263.104
172,35728280.0128
173,35728296.4096
174,35728313.2416
175,35728330.3168
176,35728346.5728
177,35728363.0336
178,35728379.8016
179,35728396.3904
180,35728413.0816
181,35728429.7984
182,35728446.4896
183,35728463.104
184,35728479.7696
185,35728496.3712
186,35728513.0496
187,35728529.8048
188,35728546.368
189,35728563.072
190,35728579.8272
191,35728596.3776
192,35728613.0944
193,35728629.8752
194,35728646.6944
195,35728663.0144
196,35728679.8464
197,35728696.5376
198,35728713.1136
199,35728729.8176
200,35728746.4704
201,35728763.0848
202,35728779.8528
203,35728796.5312
204,35728813.1328
205,35728829.8496
206,35728846.4256
207,35728863.1168
208,35728879.8464
209,35728896.5376
210,35728913.088
211,35728929.8944
212,35728946.7392
213,35728963.1104
214,35728980.0448
215,35728996.4928
216,35729013.3248
217,35729029.8624
218,35729046.6176
219,35729063.1936
220,35729080.1536
221,35729096.4992
222,35729113.152
223,35729129.7664
224,35729146.5088
225,35729163.1232
226,35729179.8912
227,35729196.4288
228,35729213.056
229,35729229.8112
230,35729246.4384
231,35729263.1424
232,35729279.8848
233,35729296.448
234,35729313.1392
235,35729329.8304
236,35729346.4704
237,35729363.328
238,35729379.8912
239,35729396.5184
240,35729413.12
241,35729429.9136
242,35729446.4256
243,35729463.1296
244,35729479.8464
245,35729496.512
246,35729513.1904
247,35729529.9072
248,35729546.4832
249,35729563.0976
250,35729580.1728
251,35729596.544
252,35729613.1328
253,35729629.952
254,35729646.4512
255,35729663.2064
256,35729679.9232
257,35729696.4864
258,35729713.1904
259,35729729.9584
260,35729746.5344
261,35729763.2
262,35729779.8912
263,35729796.5568
264,35729813.184
265,35729829.9392
266,35729846.5664
267,35729863.6288
268,35729879.936
269,35729896.6144
270,35729913.1648
271,35729930.0096
272,35729946.5984
273,35729963.1872
274,35729979.9552
275,35729996.5312
276,35730013.5168
277,35730030.208
278,35730046.5664
279,35730063.2704
280,35730080.2304
281,35730096.5888
282,35730113.2288
283,35730130.0736
284,35730146.6368
285,35730163.4048
286,35730180.6336
287,35730196.7616
288,35730213.3248
289,35730230.0928
290,35730247.0272
291,35730263.3088
292,35730280.0128
293,35730297.152
294,35730313.3824
295,35730330.112
296,35730346.6496
297,35730363.328
298,35730380.0832
299,35730396.6976
300,35730413.2736
301,35730430.0928
302,35730446.5792
303,35730463.296
304,35730480.0384
305,35730496.6144
306,35730513.2928
307,35730530.048
308,35730546.88
309,35730563.328
310,35730580.0576
311,35730596.9536
312,35730613.2992
313,35730630.0288
314,35730646.6304
315,35730664.448
316,35730680.0512
317,35730696.64
318,35730713.344
319,35730730.304
320,35730746.6112
321,35730763.264
322,35730780.032
323,35730796.7488
324,35730813.2736
325,35730830.08
326,35730846.6048
327,35730863.3856
328,35730880.064
329,35730896.64
330,35730913.3824
331,35730930.1248
332,35730946.6112
333,35730963.392
334,35730980.0448
335,35730997.056
336,35731013.3376
337,35731030.144
338,35731047.0016
339,35731063.3344
340,35731080.0896
341,35731096.7296
342,35731113.3696
343,35731130.6496
344,35731146.6496
345,35731163.3536
346,35731181.6192
347,35731196.6592
348,35731213.376
349,35731230.0672
350,35731246.6688
351,35731263.3216
352,35731280.4864
353,35731296.704
354,35731313.6896
355,35731330.0736
356,35731346.944
357,35731363.456
358,35731380.1344
359,35731396.672
360,35731413.4016
361,35731430.1312
362,35731446.6688
363,35731463.4752
364,35731480.1536
365,35731496.7808
366,35731513.7024
367,35731530.1376
368,35731546.688
369,35731563.3408
370,35731580.1344
371,35731596.7616
372,35731613.4144
373,35731630.1312
374,35731646.7456
375,35731663.4624
376,35731680.1408
377,35731696.7424
378,35731713.472
379,35731730.1504
380,35731747.0336
381,35731763.3664
382,35731780.0576
383,35731796.8
384,35731813.4528
385,35731830.1952
386,35731846.7072
387,35731863.4624
388,35731881.6512
389,35731896.7424
390,35731913.4592
391,35731930.1504
392,35731946.7776
393,35731963.3792
394,35731980.096
395,35731996.8128
396,35732013.4912
397,35732031.5904
398,35732046.7456
399,35732063.424
400,35732080.1536
401,35732096.7936
402,35732113.4464
403,35732130.3936
404,35732146.7904
405,35732163.5456
406,35732180.16
407,35732196.7616
408,35732213.44
409,35732230.208
410,35732247.0784
411,35732263.5008
412,35732280.1536
413,35732297.3696
414,35732313.408
415,35732330.2528
416,35732346.8288
417,35732363.4944
418,35732380.1728
419,35732396.8512
420,35732413.4912
421,35732430.336
422,35732446.8224
423,35732463.4496
424,35732480.1536
425,35732496.768
426,35732513.472
427,35732530.2144
428,35732546.7264
429,35732563.5584
430,35732580.16
431,35732596.7744
432,35732614.08
433,35732630.2336
434,35732646.7584
435,35732663.5136
436,35732680.2432
437,35732696.896
438,35732713.5104
439,35732730.2016
440,35732746.8288
441,35732763.5328
442,35732780.16
443,35732796.8
444,35732813.568
445,35732830.2464
446,35732846.8864
447,35732863.5392
448,35732880.256
449,35732896.832
450,35732914.0096
451,35732930.2144
452,35732946.7776
453,35732963.5712
454,35732980.1472
455,35732996.8384
456,35733013.5552
457,35733030.2592
458,35733046.784
459,35733063.9744
460,35733080.128
461,35733096.9472
462,35733113.6128
463,35733130.6112
464,35733146.8416
465,35733163.4816
466,35733180.1856
467,35733196.8384
468,35733213.6064
469,35733230.2464
470,35733246.8992
471,35733263.616
472,35733280.1792
473,35733296.9216
474,35733313.92
475,35733330.2272
476,35733346.8672
477,35733363.5712
